id,title,url,subtitle,rating,reviews,hours,lectures,level,currentPrice,originalPrice
33,Algorithms Data Structures in Java #2 (+INTERVIEW QUESTIONS),https://www.udemy.com/course/algorithms-and-data-structures-in-java-part-ii/,"Tries <strong>Data</strong> <strong>Structures</strong>, Ternary Search Trees, <strong>Data</strong> Compression, Substring Search and Sorting <strong>Algorithms</strong>",4.7,5802,13.0,105,All Levels,"249,000","₫949,000"
34,"Python for Data Structures, Algorithms, and Interviews!",https://www.udemy.com/course/python-for-data-structures-algorithms-and-interviews/,Get a kick start on your career and ace your coding interviews!,4.5,511497,17.0,228,Intermediate,"349,000","₫1,699,000"
35,Data Structures and Algorithms: In Depth using C#,https://www.udemy.com/course/data-structures-and-algorithms-in-depth-using-c-sharp/,"List, Stacks, Queues, Binary Search Trees, Hashing, Heaps, Graphs, Sorting, Searching - <strong>Data</strong> <strong>Structures</strong> &amp; <strong>Algorithms</strong> C#",4.4,5853,28.5,228,All Levels,"899,000","₫1,349,000"
36,Algorithms and Data Structures in Python (INTERVIEW Q&A),https://www.udemy.com/course/algorithms-and-data-structures-in-python/,"A guide to implement <strong>data</strong> <strong>structures</strong>, graph <strong>algorithms</strong> and sorting <strong>algorithms</strong> from scratch with interview questions!",4.5,54259,23.5,209,All Levels,"299,000","₫499,000"
37,Advanced Data Structures and Algorithms in Java ( DSA ),https://www.udemy.com/course/data-structures-and-algorithms-in-java-2/,Advanced <strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong> in Java Using Java DSA <strong>Data</strong> <strong>Structures</strong> <strong>Algorithms</strong> DSA Java Leetcode <strong>Algorithms</strong>,4.5,5157,7.5,67,All Levels,"299,000","₫449,000"
38,Data Structure & Algorithm using C++ : Zero To Mastery 2024,https://www.udemy.com/course/data-structures-algorithms-using-c-zero-to-mastery/,"Ace the Google, Amazon, Facebook, Microsoft, Netflix coding interviews. Step by step guide for their toughest questions!",4.5,51988,64.5,268,All Levels,"249,000","₫1,499,000"
39,Java Algorithms & Data Structures: Learn Optimal Code Design,https://www.udemy.com/course/java-algorithms-and-data-structures/,"Master Efficient Problem-Solving Techniques and Performance-Driven Programming Through Trees, Stacks, Queues, and More!",5.0,57,4.0,35,Beginner,"249,000","₫949,000"
40,LEETCODE In Python: Algorithms Coding Interview Questions,https://www.udemy.com/course/leetcode-in-python-50-algorithms-coding-interview-questions/,"Practice <strong>data</strong> <strong>structure</strong> and <strong>algorithms</strong> questions for interviews at FAANG companies like Google, Facebook, Apple & Amazon",4.6,51542,29.5,279,Intermediate,"249,000","₫1,299,000"
41,Algorithms and Data Structures,https://www.udemy.com/course/algorithms-data-structures/,Develop your programming logic by creating <strong>Algorithms</strong> and learn how to implement different <strong>Data</strong> <strong>Structures</strong>.,4.2,510,12.0,96,Intermediate,"249,000","₫399,000"
42,Data Structures and Algorithms : DSA using C++,https://www.udemy.com/course/data-structures-and-algorithms-deep-dive-using-c/,"DSA made easy. Learn, Analyze and CODE all <strong>Data</strong> <strong>Structures</strong> with examples. Learn about Recursion and Sorting",4.1,5212,50.0,335,All Levels,"249,000","₫399,000"
43,Fundamental Data Structures & Algorithms using C language.,https://www.udemy.com/course/data-structures-stack-queue-linkedlist/,"Learn <strong>Data</strong> <strong>Structures</strong> and <strong>algorithms</strong> for Stack, Queue, Linked List, Binary Search Tree and Heap ( using C Programming ).",4.6,5843,15.5,124,All Levels,"249,000","₫399,000"
44,"C/C++ Programming, Algorithms & Data Structures Masterclass",https://www.udemy.com/course/cpp-c-programming-algorithms-data-structures-masterclass/,Master Fundamental to Advanced <strong>Algorithms</strong> for Real-World Applications and Interviews: Your Ultimate Programming Journey,4.8,518,9.5,56,All Levels,"249,000","₫849,000"
45,Advanced Data Structures and Algorithms in Python ( DSA ),https://www.udemy.com/course/data-structures-and-algorithms-in-python-2/,Advanced <strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong> in Python Using Python DSA <strong>Data</strong> <strong>Structures</strong> <strong>Algorithms</strong> DSA Python LeetCode Python,4.8,520,7.0,66,All Levels,"249,000","₫399,000"
46,Advanced Algorithms in Java,https://www.udemy.com/course/advanced-algorithms-using-java/,Understand <strong>Algorithms</strong> and <strong>Data</strong> <strong>structure</strong> at a deep level. Grow your career and be ready to answer interview questions!,4.6,5450,16.0,72,All Levels,"849,000","₫1,299,000"
47,"Recursion, Algorithms and Data Structures Bootcamp in C++",https://www.udemy.com/course/algorithms-bootcamp-in-c/,"Recursion, Backtracking, Dynamic Programming, Graphs, <strong>Data</strong> <strong>Structures</strong>, Sorting and Substring Search <strong>Algorithms</strong>",4.7,5417,18.0,151,All Levels,"699,000","₫1,099,000"
48,Python Data Structures & Algorithms: Ace Coding Interviews,https://www.udemy.com/course/data-structures-algorithms-in-python-j/,<strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong> in Python | Leetcode + Video Solutions | Animated Explanation | Ace Coding Inteviews,4.3,537,6.0,131,All Levels,"249,000","₫1,099,000"
49,LeetCode Solutions using Algorithms and Data Structure in C#,https://www.udemy.com/course/leetcode-solutions-using-algorithms-and-data-structure-in-c/,Learn and understand how to solve LeetCode problems using different <strong>algorithms</strong> and <strong>data</strong> <strong>structure</strong> to crack IT interviews,5.0,56,13.0,77,Beginner,"249,000","₫1,249,000"
50,Beginning Java Data Structures and Algorithms,https://www.udemy.com/course/beginning-java-data-structures-and-algorithms/,Sharpen your problem solving and <strong>data</strong> organization skills using Java <strong>data</strong> <strong>structures</strong> and <strong>algorithms</strong>,4.5,55,3.0,35,Beginner,"249,000","₫399,000"
51,Learning Data Structures and Algorithms,https://www.udemy.com/course/learning-data-structures-and-algorithms-e/,Practical Tools for Efficient Coding.,5.0,53,6.0,22,Beginner,"249,000","₫949,000"
52,Data Structures and Algorithms,https://www.udemy.com/course/data-structures-and-algorithms-all/,A guide for learning <strong>Data</strong> <strong>Structures</strong> operations & Analyze the <strong>Algorithms</strong> by implementing the practical <strong>Data</strong> <strong>Structures</strong>.,4.2,540,3.5,36,Intermediate,"249,000","₫399,000"
53,The Design and Analysis of Algorithm Masterclass,https://www.udemy.com/course/design-and-analysis-of-algorithm-/,<strong>Algorithm</strong> & <strong>Data</strong> <strong>Structures</strong> will help you to Crack Coding Interviews (C/C++Java/Python) Learn <strong>Algorithm</strong> <strong>Data</strong> <strong>Structures</strong>,4.3,5449,12.5,62,Beginner,"899,000","₫1,399,000"
54,Time and space complexity analysis (big-O notation),https://www.udemy.com/course/complexity-analysis/,Learn how to analyze the time complexity and the space complexity of an <strong>algorithm</strong> by using the big O notation,4.4,5187,7.5,57,Beginner,"249,000","₫999,000"
55,"Python 3: Project-based Python, Algorithms, Data Structures",https://www.udemy.com/course/python-programming-algorithms-data-structures/,Learn programming with Python 3; visualize <strong>Algorithms</strong> and <strong>Data</strong> <strong>Structures</strong> and implement them in projects with Python,4.5,5878,14.5,102,All Levels,"249,000","₫399,000"
56,Data Structures and Algorithms In Python ( DSA ),https://www.udemy.com/course/data-structures-algorithms-in-python/,<strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong> in Python using Python DSA <strong>Data</strong> <strong>Structures</strong> DSA Leetcode Python <strong>Data</strong> <strong>Structures</strong> <strong>Algorithms</strong>,4.7,5661,10.5,133,All Levels,"249,000","₫399,000"
57,Advanced Data Structures and Algorithms in C ( DSA ),https://www.udemy.com/course/data-structures-and-algorithms-in-c-2/,Advanced <strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong> in C Using C DSA <strong>Data</strong> <strong>Structures</strong> <strong>Algorithms</strong> DSA C LeetCode C <strong>Data</strong> <strong>Structures</strong> DSA,4.4,514,7.0,67,All Levels,"249,000","₫399,000"
58,Master the Coding Interview: Big Tech (FAANG) Interviews,https://www.udemy.com/course/master-the-coding-interview-big-tech-faang-interviews/,"Ace the Google, Amazon, Meta, Microsoft, Netflix coding interviews. Step by step guide for their toughest questions!",4.7,55094,37.0,291,Intermediate,"1,399,000","₫2,199,000"
59,Data Structures and Algorithms Python: The Complete Bootcamp,https://www.udemy.com/course/data-structures-and-algorithms-masterclass/,"DSA Basics To Advanced: Learn, Analyze, Implement <strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong> using Python With Interview Questions",4.4,5632,20.0,122,All Levels,"299,000","₫449,000"
